published,source,domain,title,summary,link,sentiment,relevance
2025-10-16T18:27:27,CNBC - Top News,www.cnbc.com,"U.S. budget deficit edged lower in 2025 as tariffs, debt payments both saw new records","The federal government managed to escape with a $1.78 trillion shortfall, some $41 billion, or 2.2%, less than fiscal 2024.",https://www.cnbc.com/2025/10/16/us-budget-deficit-lower-in-2025-tariffs-debt-payments-both-at-records.html,-0.6908,0.5
2025-10-16T20:20:00,Yahoo Finance - Top Stories,finance.yahoo.com,Nike and 3 More Companies Raising the Alarm About Tariff Costs,"Nike  and other large companies are warning about tariffs, and the stock market could be in for a wake-up call.  The  has risen 34% from its April low after President Donald Trump announced tariffs across trading partners.  Many companies had bought up materials before the onset of tariffs, and they’ve only just recent begun buying the higher-cost, tariffed goods.",https://finance.yahoo.com/m/c0d69c5f-fe54-3b0c-85c7-a657bff4bdc3/nike-and-3-more-companies.html?.tsrc=rss,-0.7096,0.5
2025-10-16T22:46:00,MarketWatch - Top Stories,www.marketwatch.com,Most Americans are falling behind in saving for retirement. Here’s how they can make up the difference.,"The savings shortfall comes as Social Security faces insolvency, people are living longer and inflation outpaces earnings gains.",https://www.marketwatch.com/story/most-americans-are-falling-behind-in-saving-for-retirement-heres-how-they-can-make-up-the-difference-be8ee47e?mod=mw_rss_topstories,0.4472,0.5
2025-10-17T02:27:53,CNBC - Top News,www.cnbc.com,TSMC profit surges 39% to beat estimates and hit yet another record on AI chip demand,"Taiwan Semiconductor Manufacturing Company reported a 39.1% increase in third-quarter profit, hitting a fresh record despite missing estimates.",https://www.cnbc.com/2025/10/16/tsmc-hits-yet-another-record-as-profit-surges-39percent-beating-estimates-on-ai-chip-demand-surge.html,0.8686,0.25
2025-10-17T01:04:00,MarketWatch - Top Stories,www.marketwatch.com,"Lithium Americas is deemed vital by Trump, but investors beware, J.P. Morgan says","Lithium Americas Corp. saw its stock surge recently after the federal government took a stake in the company, but J.P. Morgan warns that investors should not get carried away with the the lithium producer’s newfound popularity in Washington.",https://www.marketwatch.com/story/lithium-americas-is-deemed-vital-by-trump-but-investors-beware-j-p-morgan-says-ce5e0bd8?mod=mw_rss_topstories,0.631,0.25
2025-10-16T15:03:09,Yahoo Finance - Top Stories,finance.yahoo.com,The Stock Market's AI Rally Gets a Boost from TSMC Earnings,"The artificial intelligence rally got a big boost Thursday morning from the latest round of earnings reports.  The Nasdaq Composite was up 0.7%, while the S&amp;P 500 was up 0.4%.  The Dow rose 72 points, or 0.2%.",https://finance.yahoo.com/m/eb5db335-29e3-3eec-a030-d22c04cce5c8/the-stock-market%27s-ai-rally.html?.tsrc=rss,0.8176,0.25
2025-10-16T20:04:00,Yahoo Finance - Top Stories,finance.yahoo.com,"Stock market today: Dow drops 300 points, S&P 500, Nasdaq slide as regional bank woes hit markets",Investors weighed corporate earnings against the escalating US-China trade war.,https://finance.yahoo.com/news/live/stock-market-today-dow-drops-300-points-sp-500-nasdaq-slide-as-regional-bank-woes-hit-markets-133458076.html?.tsrc=rss,-0.7783,0.25
2025-10-16T15:26:00,Yahoo Finance - Top Stories,finance.yahoo.com,T-Mobile Stock Catches an Upgrade. The Shares Could Gain 15%.,"The company is strategically ahead of peers Verizon and AT&amp;T, with the broadest 5G coverage, Wells Fargo analysts say.",https://finance.yahoo.com/m/c189e9e8-8eb4-380b-8af5-335d3055a912/t-mobile-stock-catches-an.html?.tsrc=rss,0.765,0.25
2025-10-16T20:27:00,Yahoo Finance - Top Stories,finance.yahoo.com,J.B. Hunt Stock Has Best Day In Almost 28 Years. How It’s Navigating the Shipping Slump.,"J.B. Hunt reports earnings per share of $1.76 from sales of $3.1 billion, topping an analysts’ estimates.",https://finance.yahoo.com/m/56511cdd-9a1a-3c09-a9ef-4806ca87b7ed/j.b.-hunt-stock-has-best-day.html?.tsrc=rss,0.7506,0.25
2025-10-16T21:17:00,MarketWatch - Top Stories,www.marketwatch.com,Jerome Powell may have just given stock investors a new reason to be worried,The Fed plans to end its quantitative-tightening program — but stocks do better under those conditions.,https://www.marketwatch.com/story/jerome-powell-may-have-just-given-stock-investors-a-new-reason-to-be-worried-d2ce23ad?mod=mw_rss_topstories,0.5023,0.25
2025-10-16T21:05:40,Yahoo Finance - Top Stories,finance.yahoo.com,"Regional bank woes, volatility, bitcoin rubicon: Market Takeaways","US stocks (^DJI, ^IXIC, ^GSPC) slipped lower in Thursday's trading session, the Dow Jones Industrial Average leading daily losses. Yahoo Finance markets and data editor Jared Blikre breaks down the biggest market themes from today’s trading day, including growing concerns around fraudulent loans in the regional banking space, spiking volatility (^VIX) in relation to Treasury rates (^TYX, ^TNX, ^FVX), and bitcoin (BTC-USD) price trends. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend.",https://finance.yahoo.com/video/regional-bank-woes-volatility-bitcoin-210540891.html?.tsrc=rss,-0.6875,0.25
2025-10-16T14:09:00,Yahoo Finance - Top Stories,finance.yahoo.com,Why Nvidia Stock Is Getting a Boost From TSMC Earnings,Nvidia stock was rising after Taiwan Semiconductor Manufacturing expressed confidence in demand for artificial-intelligence chips.,https://finance.yahoo.com/m/1e270775-629a-3dd3-ab33-6951898a8320/why-nvidia-stock-is-getting-a.html?.tsrc=rss,0.6705,0.25
2025-10-17T02:23:00,MarketWatch - Top Stories,www.marketwatch.com,"Spotify says it’s working to protect artists from AI abuse, but the streaming company’s track record is shaky","After years of fighting scams and fraud, the music-streaming company announced it is joining forces with three major music labels to develop AI products that can help artists.",https://www.marketwatch.com/story/spotify-says-its-working-to-protect-artists-from-ai-abuse-but-the-streaming-companys-track-record-is-shaky-cf3c029b?mod=mw_rss_topstories,-0.9354,0.0
2025-10-16T22:47:33,CNBC - Top News,www.cnbc.com,"Bank loan worries make it easier for Fed to cut interest rates, Jim Cramer says",CNBC's Jim Cramer said sour bank loans pave the way for the Federal Reserve to cut interest rates because they signal the economy is going south.,https://www.cnbc.com/2025/10/16/bank-loan-fed-cut-rates.html,0.4215,0.25
2025-10-16T19:42:09,CNBC - Top News,www.cnbc.com,Ray-Ban maker EssilorLuxottica says Meta smart glasses are boosting growth,EssilorLuxottica attributed a healthy amount of its third-quarter growth to a lift from its partnership with Meta.,https://www.cnbc.com/2025/10/16/ray-ban-maker-essilorluxottica-says-meta-smart-glasses-boosting-growth.html,0.9001,0.0
2025-10-16T21:40:00,MarketWatch - Top Stories,www.marketwatch.com,A major lender wants to turn mortgages into rewards points. Here’s why you should think twice.,United Wholesale Mortgage is teaming up with Bilt to offer rewards points — part of a broader push by lenders to attract scarce borrowers.,https://www.marketwatch.com/story/a-major-lender-wants-to-turn-mortgages-into-rewards-points-heres-why-you-should-think-twice-9ad34011?mod=mw_rss_topstories,0.8885,0.0
2025-10-16T19:28:52,CNBC - Top News,www.cnbc.com,"Why some credit card APRs aren’t coming down, even after a Fed rate cut","Sky-high credit card rates won't come down much, even as the Federal Reserve lowers its benchmark.",https://www.cnbc.com/2025/10/16/why-credit-card-aprs-arent-coming-down-even-after-a-fed-rate-cut.html,0.3818,0.25
2025-10-16T17:36:27,CNBC - Top News,www.cnbc.com,Trump says he and Putin will meet in Hungary to discuss war in Ukraine,President Donald Trump this week said that he is considering sending Tomahawk missiles to Ukraine to ratchet up pressure on Russia to end the war.,https://www.cnbc.com/2025/10/16/trump-putin-russia-ukraine.html,-0.875,0.0
2025-10-16T23:31:00,MarketWatch - Top Stories,www.marketwatch.com,Banks’ credit ‘cockroaches’ are spooking the stock market. Here’s what investors need to know.,"Struggling to find their way amid an ongoing economic-data blackout and renewed trade war tensions between the U.S. and China, investors already had enough to worry about this week. Then a regional lender piled on one more thing.",https://www.marketwatch.com/story/banks-credit-cockroaches-are-spooking-the-stock-market-heres-what-investors-need-to-know-e3dcf635?mod=mw_rss_topstories,-0.8658,0.0
2025-10-17T03:14:49,CNBC - Top News,www.cnbc.com,John Bolton indicted; ex-national security advisor is latest Trump foe to face criminal charges,"FBI agents on Aug. 22 raided John Bolton's Maryland home and office in Washington, D.C., as part of a criminal investigation.",https://www.cnbc.com/2025/10/16/trump-john-bolton-grand-jury-indictment.html,-0.8555,0.0
2025-10-16T15:35:44,CNBC - Top News,www.cnbc.com,"Fed Governor Miran wants a half-point cut this month, while Waller backs another quarter-point move",The central bank policymaker indicated that he still expects his colleagues to vote for another quarter-point reduction.,https://www.cnbc.com/2025/10/16/fed-governor-miran-wants-a-half-point-cut-this-month-while-waller-backs-another-quarter-point-move.html,-0.3182,0.25
2025-10-16T19:38:38,CNBC - Top News,www.cnbc.com,U.S. regulators toss out rules requiring banks to prepare for climate change,The Fed and others no longer believe the requirements are necessary as they are redundant with other provisions banks already make to plan for emergencies.,https://www.cnbc.com/2025/10/16/regulators-toss-out-rules-requiring-banks-to-prepare-for-climate-change.html,-0.296,0.25
2025-10-16T16:08:00,CNBC - Top News,www.cnbc.com,Genentech to sell flu pill directly to some consumers at a discount as Trump pressures drugmakers,"The program will sell Xofluza through three pharmacies with a $50 cash pay option, which is 70% lower than the pill's current list price before insurance.",https://www.cnbc.com/2025/10/16/genentech-launches-direct-to-consumer-program-for-flu-pill-xofluza.html,-0.7579,0.0
2025-10-16T19:56:27,CNBC - Top News,www.cnbc.com,Bill to fund military during government shutdown fails in Senate procedural vote,Democrats largely voted against the bill to fund the Pentagon amid the shutdown. The vote came hours after a Senate bill to fund the entire government failed.,https://www.cnbc.com/2025/10/16/government-shutdown-military-pay.html,-0.7269,0.0
2025-10-16T17:24:45,CNBC - Top News,www.cnbc.com,"Illinois Gov. JB Pritzker won $1.4 million gambling last year, tax filings show",Pritzker has become a leading antagonist of President Donald Trump over federal immigration operations in Chicago and elsewhere.,https://www.cnbc.com/2025/10/16/pritzker-tax-gambling-governor.html,0.2023,0.25
