Date,Close BP,High BP,Low BP,Open BP,Volume BP,Close,Open,High,Low,Volume,ATR
2014-01-02,24.222158432006836,24.454383751076843,24.17672287603169,24.449336211882557,4737500,473.75,473.75,473.75,473.75,0.0,0.0
2014-01-03,24.1666202545166,24.378653441717553,24.156523252668347,24.333217896303506,5531200,553.12,553.12,553.12,553.12,0.0,39.685
2014-01-06,24.23224449157715,24.353406561389573,24.18176141920867,24.28777702666594,5735900,573.59,573.59,573.59,573.59,0.0,33.28000000000001
2014-01-07,24.50991439819336,24.56039941522896,24.39380174772121,24.494769855985925,7513500,751.35,751.35,751.35,751.35,0.0,69.4
2014-01-08,24.600784301757812,24.646219851967924,24.49981619842352,24.56544575446177,6801800,680.18,680.18,680.18,680.18,0.0,69.75400000000002
2014-01-09,24.66136360168457,24.83300879410029,24.62097751713128,24.742137696597478,7556500,755.65,755.65,755.65,755.65,0.0,70.70666666666669
2014-01-10,24.838048934936523,24.83804893493652,24.73203333624668,24.797660939737188,5310100,531.01,531.01,531.01,531.01,0.0,92.69714285714288
2014-01-13,24.307979583740234,24.676511534030684,24.282736112863077,24.499816866922806,8277700,827.77,827.77,827.77,827.77,0.0,118.20500000000001
2014-01-14,24.403894424438477,24.45437750671719,24.292829332457934,24.449329968811778,6072200,607.22,607.22,607.22,607.22,0.0,129.57666666666668
2014-01-15,24.282733917236328,24.474573108879387,24.267589376724548,24.449331566090997,6437200,643.72,643.72,643.72,643.72,0.0,120.269
2014-01-16,24.18681526184082,24.292830896937303,24.131282712274206,24.27263881820912,4549800,454.98,454.98,454.98,454.98,0.0,126.49363636363637
2014-01-17,24.333215713500977,24.469522337515787,24.237295167450178,24.262538632709454,5872700,587.27,587.27,587.27,587.27,0.0,126.97666666666667
2014-01-21,24.49981689453125,24.58059099433242,24.408945791529128,24.54525244603231,5103100,510.31,510.31,510.31,510.31,0.0,123.12923076923077
2014-01-22,24.75728416442871,24.817864254164363,24.57554196941543,24.6765100695124,8903400,890.34,890.34,890.34,890.34,0.0,141.4792857142857
2014-01-23,24.550304412841797,24.732046637370235,24.44933629634748,24.716900168121768,5949900,594.99,594.99,594.99,594.99,0.0,162.57571428571427
2014-01-24,24.106042861938477,24.555348902440347,24.09594585896236,24.54525189946423,8983500,898.35,898.35,898.35,898.35,0.0,178.57500000000002
2014-01-27,23.85361671447754,24.055552864393338,23.75769810246075,23.984873863858713,4921600,492.16,492.16,492.16,492.16,0.0,206.12642857142856
2014-01-28,23.96973991394043,24.025272475985975,23.888965803457832,23.944498365503375,2641700,264.17,264.17,264.17,264.17,0.0,209.71428571428572
2014-01-29,23.863704681396484,23.96972025335944,23.70720412816179,23.762736644658137,4831600,483.16,483.16,483.16,483.16,0.0,220.27285714285716
2014-01-30,23.93439483642578,24.040410466445465,23.793040663066204,24.040410466445465,3760700,376.07,376.07,376.07,376.07,0.0,222.53142857142856
2014-01-31,23.6718807220459,23.843525916379487,23.53557407426867,23.56586508237684,4796700,479.67,479.67,479.67,479.67,0.0,213.8857142857143
2014-02-03,23.278099060058594,23.661775398812676,23.227614064297743,23.591098330553162,5033900,503.39,503.39,503.39,503.39,0.0,194.38285714285715
2014-02-04,23.35887908935547,23.52042726541077,23.187233911570946,23.2074279150294,5315100,531.51,531.51,531.51,531.51,0.0,180.63785714285717
2014-02-05,23.242769241333008,23.39422043379427,23.136753599190765,23.333640341971044,3780900,378.09,378.09,378.09,378.09,0.0,188.9892857142857
2014-02-06,23.888961791992188,23.90915579767351,23.474994304556983,23.515382315919627,5952100,595.21,595.21,595.21,595.21,0.0,191.01642857142858
2014-02-07,24.03536033630371,24.05555433769326,23.833424174020184,23.843521174714958,2833100,283.31,283.31,283.31,283.31,0.0,203.84571428571434
2014-02-10,23.979833602905273,23.979833602905273,23.848576413696836,23.899059503590905,2432700,243.27,243.27,243.27,243.27,0.0,201.20857142857147
2014-02-11,24.540197372436523,24.60582691018839,24.201954609382298,24.24234260978525,4794000,479.4,479.4,479.4,479.4,0.0,190.93
2014-02-12,24.713886260986328,24.826267219020743,24.63215376939025,24.816052362645504,4615200,461.52,461.52,461.52,461.52,0.0,171.1107142857143
2014-02-13,24.7496395111084,24.816047757160938,24.560633524742187,24.59128198549263,3546000,354.6,354.6,354.6,354.6,0.0,157.07928571428573
2014-02-14,24.933542251586914,25.01016536496866,24.75986046646951,24.7905089323597,2597700,259.77,259.77,259.77,259.77,0.0,134.83928571428572
2014-02-18,25.240032196044922,25.352415072200845,25.163407153455736,25.204274362478174,10061800,1006.18,1006.18,1006.18,1006.18,0.0,171.86928571428572
2014-02-19,25.19917106628418,25.388177067355056,25.132762815065078,25.183844886060633,5479300,547.93,547.93,547.93,547.93,0.0,188.95928571428573
2014-02-20,25.469913482666016,25.520995561548585,25.342206336803198,25.40350522119356,8097900,809.79,809.79,809.79,809.79,0.0,200.01428571428573
