Date,Close CVX,High CVX,Low CVX,Open CVX,Volume CVX,Close,Open,High,Low,Volume,ATR
2014-01-02,75.58810424804688,76.03868452793212,75.32627963024339,75.78295015114531,4540300,454.03,454.03,454.03,454.03,0.0,0.0
2014-01-03,75.71597290039062,76.04477623925648,75.41761612170401,75.86819641030114,3506000,350.6,350.6,350.6,350.6,0.0,51.714999999999975
2014-01-06,75.51504516601562,75.98998647206675,75.21059811227416,75.86211462146116,4252300,425.23,425.23,425.23,425.23,0.0,59.35333333333332
2014-01-07,76.15438842773438,76.30661195978354,75.28975988061359,75.75860631530784,4563300,456.33,456.33,456.33,456.33,0.0,52.28999999999998
2014-01-08,75.07056427001953,75.78296934817175,74.74176085421989,75.77079350854684,8282500,828.25,828.25,828.25,828.25,0.0,116.21599999999998
2014-01-09,75.07056427001953,75.14971884131623,74.29726605726097,75.14971884131623,5643500,564.35,564.35,564.35,564.35,0.0,140.82999999999998
2014-01-10,73.68228912353516,74.79656198925511,73.29259720357408,74.58954018917947,8127500,812.75,812.75,812.75,812.75,0.0,156.19714285714284
2014-01-13,72.61063385009766,73.61531021611606,72.46450054182952,73.56050732208169,6504200,650.42,650.42,650.42,650.42,0.0,156.96375
2014-01-14,72.80547332763672,72.9150744604534,72.33662687616712,72.70196243705811,6904600,690.46,690.46,690.46,690.46,0.0,143.97222222222223
2014-01-15,72.56798553466797,73.10990081129569,72.48883098875905,72.87852276868253,5829300,582.93,582.93,582.93,582.93,0.0,140.32800000000003
2014-01-16,72.35488891601562,72.63497965190409,71.96519705343225,72.52537852520918,5041100,504.11,504.11,504.11,504.11,0.0,134.73636363636362
2014-01-17,72.63497161865234,73.29866390182353,72.30007803370812,72.47665786527025,7199700,719.97,719.97,719.97,719.97,0.0,141.49666666666667
2014-01-21,73.28649139404297,73.60920451119839,72.76893235829412,73.51786947065608,5602300,560.23,560.23,560.23,560.23,0.0,142.9
2014-01-22,73.32911682128906,73.53005298968006,73.04902609208949,73.37782946432203,4977500,497.75,497.75,497.75,497.75,0.0,137.15571428571428
2014-01-23,72.08697509765625,72.97595996282708,72.00782053377233,72.969869720838,6205800,620.58,620.58,620.58,620.58,0.0,145.92928571428573
2014-01-24,70.80828094482422,71.93473387002642,70.79001486884407,71.7703345407127,7094900,709.49,709.49,709.49,709.49,0.0,144.8921428571429
2014-01-27,70.89354705810547,71.39284008224256,70.55865341274179,70.7900361660817,6179500,617.95,617.95,617.95,617.95,0.0,146.1
2014-01-28,71.14317321777344,71.25886456512399,70.67432687857672,71.07010891038789,4303700,430.37,430.37,430.37,430.37,0.0,157.27714285714288
2014-01-29,70.63172149658203,71.17363691918355,70.45514163538132,70.71696630605909,5522100,552.21,552.21,552.21,552.21,0.0,139.41428571428574
2014-01-30,70.90573120117188,71.2162685591046,70.13243757335253,70.82048638064043,5538700,553.87,553.87,553.87,553.87,0.0,120.68285714285715
2014-01-31,67.97085571289062,69.35304810442868,67.65423278297318,69.35304810442868,15523500,1552.35,1552.35,1552.35,1552.35,0.0,174.26000000000002
2014-02-03,67.67247772216797,68.47621760368519,67.3071422570224,68.40923889310105,11275300,1127.53,1127.53,1127.53,1127.53,0.0,193.0092857142857
2014-02-04,67.4837417602539,68.22050314613901,67.27671532745903,68.11090201006968,9717200,971.72,971.72,971.72,971.72,0.0,201.27857142857144
2014-02-05,66.68607330322266,67.58723852760761,66.53384979302534,67.58723852760761,10562900,1056.29,1056.29,1056.29,1056.29,0.0,199.6385714285714
2014-02-06,67.75162506103516,67.80033769000379,66.92353359602852,67.04531052295809,7983300,798.33,798.33,798.33,798.33,0.0,212.43428571428566
2014-02-07,68.22660064697266,68.2692230574511,67.215833990635,68.14135582601578,7071800,707.18,707.18,707.18,707.18,0.0,203.52642857142854
2014-02-10,68.00736999511719,68.48230655541684,67.63594429632029,68.48230655541684,9251300,925.13,925.13,925.13,925.13,0.0,207.68428571428572
2014-02-11,69.1581802368164,69.33476005070578,68.16568006376556,68.214392697699,6874700,687.47,687.47,687.47,687.47,0.0,220.19714285714284
2014-02-12,68.82029724121094,69.34859768106558,68.68514996309621,69.34859768106558,6422100,642.21,642.21,642.21,642.21,0.0,214.65642857142853
2014-02-13,69.11516571044922,69.25645264067529,68.29814237738375,68.63601057880345,5061600,506.16,506.16,506.16,506.16,0.0,218.02357142857142
2014-02-14,69.7110595703125,69.92606453821183,68.5500233701425,69.15818630517364,6776400,677.64,677.64,677.64,677.64,0.0,223.73357142857142
2014-02-18,69.23804473876953,70.09806930686929,69.17047107855589,69.94449365852137,6106600,610.66,610.66,610.66,610.66,0.0,215.1192857142857
2014-02-19,69.78479766845703,70.67553954722356,69.09063718645976,69.13978253565207,7989900,798.99,798.99,798.99,798.99,0.0,219.8685714285714
