Date,Close LDOS,High LDOS,Low LDOS,Open LDOS,Volume LDOS,Close,Open,High,Low,Volume,ATR
2014-01-02,26.754714965820312,26.96875206766323,26.598525013645006,26.65637437003992,819900,819.9,819.9,819.9,819.9,0.0,0.0
2014-01-03,27.153867721557617,27.2579943644971,26.800996550182123,26.95718430786387,895900,895.9,895.9,895.9,895.9,0.0,38.0
2014-01-06,26.84149169921875,27.17122535383185,26.748934922603276,27.130731901983058,853100,853.1,853.1,853.1,853.1,0.0,39.59999999999999
2014-01-07,27.483591079711914,27.651350853584255,26.673720190088883,26.748923227812114,1359900,1359.9,1359.9,1359.9,1359.9,0.0,156.4
2014-01-08,27.529882431030273,27.714995983209935,27.17122519952312,27.39104616353172,1635200,1635.2,1635.2,1635.2,1635.2,0.0,180.18
2014-01-09,27.651355743408203,27.923242169369104,27.524091587902138,27.697635223030076,870300,870.3,870.3,870.3,870.3,0.0,277.6333333333334
2014-01-10,27.634000778198242,27.87696141492125,27.356330533346117,27.408393842176324,650700,650.7,650.7,650.7,650.7,0.0,269.34285714285716
2014-01-13,27.086565017700195,27.709715322489664,27.022504913104378,27.389403691463997,577400,577.4,577.4,577.4,577.4,0.0,244.8375
2014-01-14,27.267107009887695,27.40687957485912,27.115688767644077,27.121511606280173,662100,662.1,662.1,662.1,662.1,0.0,227.04444444444445
2014-01-15,27.628175735473633,27.715533843347572,27.24380405972444,27.4767575329823,672300,672.3,672.3,672.3,672.3,0.0,205.35999999999999
2014-01-16,27.220523834228516,27.575774833771387,27.051632594400065,27.51753754771126,722700,722.7,722.7,722.7,722.7,0.0,191.27272727272728
2014-01-17,27.07493019104004,27.249644282404372,26.638143851824108,27.057457226776464,868900,868.9,868.9,868.9,868.9,0.0,187.51666666666665
2014-01-21,27.01085662841797,27.366109725658205,26.772080284280815,27.080741791636108,630700,630.7,630.7,630.7,630.7,0.0,191.41538461538462
2014-01-22,26.7895450592041,26.970084097425726,26.702186958411005,26.946788307666395,802600,802.6,802.6,802.6,802.6,0.0,190.02142857142857
2014-01-23,26.74879264831543,26.876917337970635,26.445953886518552,26.562430675149653,880200,880.2,880.2,880.2,880.2,0.0,195.56428571428572
